"PERSONES_LLAR","PROVINCIA","HABITAT","COMARCA","CIUTADANIA","SEXE","EDAT","LLOC_NAIX","SIT_ECO_PERSONAL","INF_POL_DIARI_FREQ","INF_POL_TV_FREQ","INF_POL_RADIO_FREQ","INF_POL_XARXES_FREQ","INF_POL_CONEGUTS_FREQ","INF_POL_TV_CANAL","INF_POL_RADIO_EMISORA","INF_POL_PREMSA_DIARI","INF_POL_OBJ_CAP_OPOSICIO","INF_POL_OBJ_GOVERN_CAT","INF_POL_OBJ_RANG_ESCOLARITZACIO","INF_POL_OBJ_INI_ESCOLARITZACIO","INF_POL_OBJ_FI_ESCOLARITZACIO","COLLECTIU_DISCRIMINAT","LLOC_NAIX_PARE","LLOC_NAIX_MARE","GRUP_ETNIC","RELIGIO","SIT_LAB","ESTUDIS_1_15","GENERE","ORIENTACIO_SEXUAL","ESTAT_CIVIL","LLENGUA_PRIMERA","LLENGUA_IDENTIFICACIO","BENESTAR_COTXE_PROPI","BENESTAR_VACANCES","BENESTAR_SUPORT_LLAR","BENESTAR_PROPIETATS","BENESTAR_FACTURES","TIPUS_LLAR","INGRESSOS_1_15","DISCAPACITAT","Clusters"
3,"Barcelona","150.001-1.000.000 habitants","Vallès Occidental","Sí, tinc la ciutadania (espanyola)","Masculí",60,"Catalunya","Pitjor","Tots els dies","Tots els dies","Tots els dies","Tots els dies","3-4 dies per setmana","La Sexta","Catalunya Informació","Diari de Terrassa","No ho sap","Aproximat","Aproximat","3","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Cap: Ateisme","Treballa","Llicenciatura (Titulacions amb equivalència oficial: 2on cicle INEF; dansa i Art Dramàtic (Des de 1992); Grau Superior","Home","Heterosexual","Casat/ada","Castellà","Castellà","Sí","Sí","Sí","Sí","No","Parella amb fills/es","De 5.001 a 6.000 €","No","3"
3,"Barcelona",">1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Masculí",48,"Catalunya","Pitjor","Amb menys freqüència","1-2 dies per setmana","1-2 dies per setmana","Mai","1-2 dies per setmana","La 1","SER","La Vanguardia (castellà)","No ho sap","No ho sap","Aproximat","3","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","Treballa","Llicenciatura (Titulacions amb equivalència oficial: 2on cicle INEF; dansa i Art Dramàtic (Des de 1992); Grau Superior","Home","Heterosexual","Divorciat/ada","Castellà","Castellà","Sí","Sí","Sí","No","No","Monoparental: pare/mare amb fills/es","De 2.401 a 3.000 €","No","2"
4,"Barcelona","50.001-150.000 habitants","Vallès Occidental","Sí, tinc la ciutadania (espanyola)","Femení",56,"Catalunya","Pitjor","Tots els dies","Tots els dies","Tots els dies","Mai","Tots els dies","TV3","Catalunya Ràdio","La Vanguardia (castellà)","No ho sap","Incorrecte","Aproximat","3","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Cap: Agnosticisme","Treballa","Màster oficial universitari (Especialitats mèdiques o equivalent)","Dona","Heterosexual","Casat/ada","Castellà","Castellà","Sí","Sí","Sí","Sí","No","Parella amb fills/es","De 3.001 a 4.000 €","No","1"
2,"Girona","10.001-50.000 habitants","Selva","Sí, tinc la ciutadania (espanyola)","Femení",67,"Catalunya","Igual","Mai","Tots els dies","Mai","Mai","Mai","TV3","No escolta els informatius","No llegeix diaris","No ho sap","Correcte","Aproximat","3","16","No","Catalunya","Catalunya","Blanc/a","Catolicisme","No treballa","FP de Grau Mig (Cicle/mòdul formatiu de FP (grau mitjà), d’Arts Plàstiques i Disseny, Música i Dansa, ensenyaments","Dona","Heterosexual","Casat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","No","No","Parella sense fills/es","De 1001 a 1200 €","Sí","3"
1,"Tarragona","50.001-150.000 habitants","Tarragonès","Sí, tinc la ciutadania (espanyola)","Masculí",62,"Altres comunitats autònomes","Igual","1-2 dies per setmana","Mai","Mai","Mai","1-2 dies per setmana","No mira els informatius","No escolta els informatius","No llegeix diaris","No ho sap","Incorrecte","Aproximat","4","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Cap: Agnosticisme","No treballa","Batxillerat (Batxillerat LOGSE, BUP, Batxillerat Superior (6è), Batxillerat Universitari (7è), inclòs COU i PREU)","Home","Heterosexual","Solter/a","Castellà","Totes dues igual: català (valencià / balear) i castellà","Sí","Sí","Sí","No","No","Jo sol/a","De 2.001 a 2.400 €","No","3"
2,"Barcelona",">1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Femení",26,"Catalunya","Pitjor","Tots els dies","Tots els dies","5-6 dies per setmana","Mai","Mai","No té cap canal habitual","SER","La Vanguardia (castellà)","No ho sap","No ho sap","Correcte","6","16","No","Altres comunitats autònomes","Catalunya","Blanc/a","Cap: Agnosticisme","Treballa","Màster oficial universitari (Especialitats mèdiques o equivalent)","Dona","Heterosexual","Solter/a","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","No","No","Monoparental: pare/mare amb fills/es","De 3.001 a 4.000 €","No","2"
4,"Barcelona","150.001-1.000.000 habitants","Vallès Occidental","Sí, tinc la ciutadania (espanyola)","Femení",55,"Catalunya","Pitjor","3-4 dies per setmana","3-4 dies per setmana","5-6 dies per setmana","Tots els dies","3-4 dies per setmana","TV3","Altres emissores estatals","Altres diaris","No ho sap","Aproximat","Incorrecte","3","18","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","Treballa","FP de Grau Superior (Cicle/mòdul formatiu de FP (grau superior) d’Arts Plàstiques, Disseny, Música i Dansa, Esport,","Dona","No contesta","Casat/ada","Castellà","Català (valencià / balear)","Sí","Sí","Sí","Sí","No","Parella amb fills/es i altres familiars","De 3.001 a 4.000 €","No","3"
3,"Girona","10.001-50.000 habitants","Selva","Sí, tinc la ciutadania (espanyola)","Femení",46,"Catalunya","Igual","3-4 dies per setmana","Tots els dies","3-4 dies per setmana","3-4 dies per setmana","3-4 dies per setmana","TV3","Rac 1","No té cap diari habitual","No ho sap","No ho sap","Incorrecte","5","15","No","Catalunya","Catalunya","Blanc/a","Catolicisme","Treballa","Llicenciatura (Titulacions amb equivalència oficial: 2on cicle INEF; dansa i Art Dramàtic (Des de 1992); Grau Superior","Dona","Heterosexual","Vidu/a","Castellà","Català (valencià / balear)","Sí","Sí","No","No","No","Monoparental: pare/mare amb fills/es","De 1.801 a 2.000 €","No","3"
1,"Barcelona",">1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Masculí",27,"Catalunya","Millor","1-2 dies per setmana","Amb menys freqüència","3-4 dies per setmana","Tots els dies","3-4 dies per setmana","TV3","Rac 1","La Vanguardia (català)","Correcte","Correcte","Aproximat","5","16","No","Catalunya","Catalunya","Blanc/a","Cap: Ateisme","Treballa","Màster oficial universitari (Especialitats mèdiques o equivalent)","Home","Heterosexual","Solter/a","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","No","No","Jo sol/a","De 2.401 a 3.000 €","No","3"
1,"Tarragona","50.001-150.000 habitants","Tarragonès","Sí, tinc la ciutadania (espanyola)","Femení",72,"Catalunya","Igual","Tots els dies","Tots els dies","Tots els dies","1-2 dies per setmana","3-4 dies per setmana","Canal 3/24","Rac 1","VILAWEB","Correcte","Correcte","Aproximat","5","16","No","Catalunya","Catalunya","Blanc/a","Cap: Ateisme","No treballa","Llicenciatura (Titulacions amb equivalència oficial: 2on cicle INEF; dansa i Art Dramàtic (Des de 1992); Grau Superior","Dona","Heterosexual","Divorciat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","Sí","No","No","Jo sol/a","De 1.801 a 2.000 €","No","3"
2,"Barcelona",">1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Masculí",37,"Catalunya","Pitjor","Mai","1-2 dies per setmana","1-2 dies per setmana","3-4 dies per setmana","3-4 dies per setmana","TV3","Rac 1","20 Minutos","No ho sap","No ho sap","Aproximat","3","16","Sí","Catalunya","Catalunya","Blanc/a","Catolicisme","Treballa","FP de Grau Superior (Cicle/mòdul formatiu de FP (grau superior) d’Arts Plàstiques, Disseny, Música i Dansa, Esport,","Home","Heterosexual","Parella de fet","Castellà","Català (valencià / balear)","Sí","Sí","No","No","No","Parella sense fills/es","De 2.401 a 3.000 €","No","3"
3,"Barcelona","50.001-150.000 habitants","Baix Llobregat","Sí, tinc la ciutadania (espanyola)","Femení",57,"Catalunya","Igual","Mai","Tots els dies","Mai","3-4 dies per setmana","Amb menys freqüència","La Sexta","No escolta la ràdio / No té ràdio","No ho sap","No ho sap","No ho sap","Aproximat","3","16","No","Altres comunitats autònomes","Catalunya","Blanc/a","Catolicisme","No treballa","FP de Grau Mig (Cicle/mòdul formatiu de FP (grau mitjà), d’Arts Plàstiques i Disseny, Música i Dansa, ensenyaments","Dona","Heterosexual","Solter/a","Castellà","Totes dues igual: català (valencià / balear) i castellà","Sí","No","No","No","Sí","Parella amb fills/es","No ho sap","Sí","2"
2,"Barcelona","50.001-150.000 habitants","Baix Llobregat","Sí, tinc la ciutadania (espanyola)","Femení",64,"Catalunya","Igual","Mai","Tots els dies","Mai","Mai","Mai","TV3","No escolta la ràdio / No té ràdio","El Periódico (català)","Correcte","Correcte","Aproximat","3","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","No treballa","FP de Grau Superior (Cicle/mòdul formatiu de FP (grau superior) d’Arts Plàstiques, Disseny, Música i Dansa, Esport,","Dona","Heterosexual","Vidu/a","Castellà","Totes dues igual: català (valencià / balear) i castellà","Sí","Sí","No","No","No","Monoparental: pare/mare amb fills/es","De 1001 a 1200 €","No","2"
6,"Barcelona","50.001-150.000 habitants","Baix Llobregat","Sí, tinc la ciutadania (espanyola)","Masculí",42,"Catalunya","Igual","1-2 dies per setmana","1-2 dies per setmana","3-4 dies per setmana","3-4 dies per setmana","3-4 dies per setmana","Antena 3","COPE","Diaris esportius","No ho sap","Incorrecte","Aproximat","4","16","Sí","Altres comunitats autònomes","Altres comunitats autònomes","Romaní/Gitano/a","Cristianisme evangèlic/protestant","Treballa","FP de Grau Mig (Cicle/mòdul formatiu de FP (grau mitjà), d’Arts Plàstiques i Disseny, Música i Dansa, ensenyaments","Home","Heterosexual","Solter/a","Castellà","Castellà","Sí","No","No","No","Sí","Parella amb fills/es i altres familiars","De 1.801 a 2.000 €","Sí","2"
2,"Barcelona","50.001-150.000 habitants","Baix Llobregat","Sí, tinc la ciutadania (espanyola)","Masculí",61,"Altres comunitats autònomes","Pitjor","3-4 dies per setmana","Tots els dies","3-4 dies per setmana","Mai","Amb menys freqüència","La Sexta","No escolta la ràdio / No té ràdio","El Periódico (castellà)","No ho sap","No ho sap","Incorrecte","No ho sap","18","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","Treballa","Educació Primària (Educació Primària de la LOGSE, 5è curs d’EGB, ensenyament primari antic)","Home","Heterosexual","Vidu/a","Castellà","Castellà","Sí","No","No","No","No","Monoparental: pare/mare amb fills/es","No contesta","No","2"
4,"Barcelona","50.001-150.000 habitants","Baix Llobregat","Sí, tinc la ciutadania (espanyola)","Femení",44,"Catalunya","Millor","Mai","Mai","Mai","Amb menys freqüència","1-2 dies per setmana","Antena 3","No escolta els informatius","No llegeix diaris","No ho sap","No ho sap","Incorrecte","6","18","Sí","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Cap: Ateisme","Treballa","Educació Primària (Educació Primària de la LOGSE, 5è curs d’EGB, ensenyament primari antic)","Dona","Heterosexual","Casat/ada","Castellà","Castellà","Sí","Sí","No","Sí","No","Parella amb fills/es","De 2.401 a 3.000 €","No","1"
3,"Barcelona","150.001-1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Masculí",30,"Catalunya","Millor","3-4 dies per setmana","Tots els dies","Mai","3-4 dies per setmana","Mai","TV3","SER","El Mundo","No ho sap","No ho sap","Incorrecte","12","16","No","Catalunya","Catalunya","Blanc/a","Cap: Ateisme","Treballa","Grau (Estudis de grau, ensenyaments artístics equivalents (Des de 2006))","Home","Homosexual (Gai/Lesbiana)","Solter/a","Català (valencià / balear)","Català (valencià / balear)","No","Sí","No","Sí","No","Parella amb fills/es","De 3.001 a 4.000 €","No","3"
2,"Barcelona","150.001-1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Masculí",84,"Altres comunitats autònomes","Pitjor","Mai","5-6 dies per setmana","Mai","Mai","Mai","Telecinco","No escolta la ràdio / No té ràdio","No llegeix diaris","No ho sap","No ho sap","Aproximat","3","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Altres","Catolicisme","No treballa","Menys de 5 anys d’escolarització","Home","Heterosexual","Casat/ada","Castellà","Castellà","Sí","Sí","No","Sí","No","Parella amb fills/es","De 1.801 a 2.000 €","No","1"
3,"Barcelona","150.001-1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Masculí",36,"Catalunya","Igual","Tots els dies","Tots els dies","Mai","Mai","Mai","Telecinco","No escolta la ràdio / No té ràdio","El Periódico (català)","No ho sap","Aproximat","Correcte","6","16","No","Altres comunitats autònomes","Catalunya","Blanc/a","Cap: Ateisme","No treballa","Educació secundaria (ESO, EGB, Graduat Escolar, Certificat d’Escolaritat, Batxillerat Elemental)","Home","Heterosexual","Solter/a","Castellà","Castellà","Sí","Sí","No","No","No","Parella amb fills/es","De 1.201 a 1.800 €","No","1"
2,"Lleida","50.001-150.000 habitants","Segrià","Sí, tinc la ciutadania (espanyola)","Femení",30,"Catalunya","Millor","Mai","3-4 dies per setmana","Amb menys freqüència","1-2 dies per setmana","Amb menys freqüència","TV3","RAC 105","La Vanguardia (castellà)","No ho sap","Correcte","Correcte","6","16","No","Altres comunitats autònomes","Catalunya","Blanc/a","Testimonis cristians de Jehovà","Treballa","FP de Grau Superior (Cicle/mòdul formatiu de FP (grau superior) d’Arts Plàstiques, Disseny, Música i Dansa, Esport,","Dona","Heterosexual","Casat/ada","Castellà","Castellà","Sí","Sí","No","No","No","Parella sense fills/es","De 3.001 a 4.000 €","No","1"
4,"Lleida","50.001-150.000 habitants","Segrià","Sí, tinc la ciutadania (espanyola)","Femení",49,"Fora d'Espanya","Pitjor","Mai","Tots els dies","Mai","Mai","Mai","Telecinco","No escolta la ràdio / No té ràdio","No llegeix diaris","No ho sap","No ho sap","Incorrecte","5","18","No","Fora d'Espanya","Fora d'Espanya","Negre/a","Catolicisme","No treballa","Menys de 5 anys d’escolarització","Dona","Heterosexual","Solter/a","Castellà","Castellà","No","Sí","No","No","No","Parella amb fills/es","No ho sap","No","2"
4,"Lleida","50.001-150.000 habitants","Segrià","Sí, tinc la ciutadania (espanyola)","Femení",59,"Altres comunitats autònomes","Pitjor","1-2 dies per setmana","1-2 dies per setmana","Mai","Mai","3-4 dies per setmana","Telecinco","No escolta la ràdio / No té ràdio","Diari Segre","No ho sap","No ho sap","Incorrecte","5","18","Sí","Altres comunitats autònomes","Catalunya","Blanc/a","Catolicisme","Treballa","FP de Grau Superior (Cicle/mòdul formatiu de FP (grau superior) d’Arts Plàstiques, Disseny, Música i Dansa, Esport,","Dona","Heterosexual","Casat/ada","Altres llengües o altres combinacions","Català (valencià / balear)","Sí","Sí","No","Sí","No","Parella amb fills/es","No ho sap","No","1"
4,"Lleida","50.001-150.000 habitants","Segrià","Sí, tinc la ciutadania (espanyola)","Femení",55,"Catalunya","Pitjor","Mai","3-4 dies per setmana","Tots els dies","Mai","Mai","Telecinco","RNE","Diari Segre","No ho sap","No ho sap","Aproximat","3","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","No ho sap","No treballa","FP de Grau Superior (Cicle/mòdul formatiu de FP (grau superior) d’Arts Plàstiques, Disseny, Música i Dansa, Esport,","Dona","Heterosexual","Casat/ada","Castellà","Castellà","Sí","Sí","No","No","No","Parella amb fills/es","De 3.001 a 4.000 €","Sí","2"
4,"Lleida","50.001-150.000 habitants","Segrià","Sí, tinc la ciutadania (espanyola)","Femení",57,"Catalunya","Igual","1-2 dies per setmana","1-2 dies per setmana","Mai","1-2 dies per setmana","Amb menys freqüència","TV3","No escolta la ràdio / No té ràdio","No té cap diari habitual","Incorrecte","Incorrecte","Aproximat","3","16","Sí","Catalunya","Catalunya","No ho sap","Cap: Agnosticisme","No treballa","Educació secundaria (ESO, EGB, Graduat Escolar, Certificat d’Escolaritat, Batxillerat Elemental)","Dona","Heterosexual","Casat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","No","No","Parella sense fills/es i altres familiars","De 1.801 a 2.000 €","No","3"
2,"Lleida","50.001-150.000 habitants","Segrià","Sí, tinc la ciutadania (espanyola)","Masculí",28,"Catalunya","Pitjor","Mai","Tots els dies","1-2 dies per setmana","Mai","5-6 dies per setmana","TV3","No té cap emissora habitual","Diari Segre","No ho sap","No ho sap","Aproximat","3","16","No","Altres comunitats autònomes","Catalunya","Blanc/a","Catolicisme","Està temporalment de baixa","Educació secundaria (ESO, EGB, Graduat Escolar, Certificat d’Escolaritat, Batxillerat Elemental)","Home","Heterosexual","Solter/a","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","No","Sí","Monoparental: pare/mare amb fills/es","De 3.001 a 4.000 €","No","3"
2,"Lleida","50.001-150.000 habitants","Segrià","Sí, tinc la ciutadania (espanyola)","Masculí",63,"Catalunya","Igual","Mai","Tots els dies","Tots els dies","Mai","1-2 dies per setmana","TV3","SER","No llegeix diaris","Correcte","Correcte","Incorrecte","4","17","No","Catalunya","Catalunya","Blanc/a","Catolicisme","No treballa","Batxillerat (Batxillerat LOGSE, BUP, Batxillerat Superior (6è), Batxillerat Universitari (7è), inclòs COU i PREU)","Home","Heterosexual","Casat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","Sí","No","No","Parella sense fills/es","De 3.001 a 4.000 €","Sí","2"
1,"Lleida","50.001-150.000 habitants","Segrià","Sí, tinc la ciutadania (espanyola)","Femení",67,"Altres comunitats autònomes","Pitjor","Tots els dies","Tots els dies","1-2 dies per setmana","Tots els dies","3-4 dies per setmana","No té cap canal habitual","No ho sap","El País","Aproximat","Incorrecte","Incorrecte","5","17","Sí","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","No treballa","FP de Grau Mig (Cicle/mòdul formatiu de FP (grau mitjà), d’Arts Plàstiques i Disseny, Música i Dansa, ensenyaments","Dona","Heterosexual","Solter/a","Altres llengües o altres combinacions","Altres llengües o altres combinacions","Sí","Sí","No","No","No","Jo sol/a","De 601 a 900 €","No","3"
2,"Lleida","50.001-150.000 habitants","Segrià","Sí, tinc la ciutadania (espanyola)","Femení",68,"Catalunya","Pitjor","Amb menys freqüència","Tots els dies","Mai","3-4 dies per setmana","Mai","TV3","No escolta la ràdio / No té ràdio","Diari Segre","Correcte","Correcte","Aproximat","3","16","No","Catalunya","Catalunya","Blanc/a","Catolicisme","No treballa","FP de Grau Mig (Cicle/mòdul formatiu de FP (grau mitjà), d’Arts Plàstiques i Disseny, Música i Dansa, ensenyaments","Dona","Heterosexual","Casat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","No","No","Parella sense fills/es","De 2.001 a 2.400 €","No","3"
5,"Lleida","50.001-150.000 habitants","Segrià","Sí, tinc la ciutadania (espanyola)","Masculí",36,"Catalunya","Pitjor","5-6 dies per setmana","Tots els dies","Tots els dies","5-6 dies per setmana","3-4 dies per setmana","Canal 3/24","COPE","Diari Segre","No ho sap","Incorrecte","Correcte","6","16","No","Altres comunitats autònomes","Catalunya","Blanc/a","Catolicisme","Treballa","Batxillerat (Batxillerat LOGSE, BUP, Batxillerat Superior (6è), Batxillerat Universitari (7è), inclòs COU i PREU)","Home","Heterosexual","Casat/ada","Castellà","Castellà","Sí","Sí","No","Sí","Sí","Parella amb fills/es i altres familiars","De 1.801 a 2.000 €","No","1"
2,"Lleida","50.001-150.000 habitants","Segrià","Sí, tinc la ciutadania (espanyola)","Masculí",27,"Catalunya","Pitjor","3-4 dies per setmana","3-4 dies per setmana","1-2 dies per setmana","5-6 dies per setmana","3-4 dies per setmana","TV3","No escolta la ràdio / No té ràdio","No té cap diari habitual","No ho sap","Incorrecte","Aproximat","5","16","No","Catalunya","Catalunya","Blanc/a","Cap: Ateisme","Treballa","FP de Grau Mig (Cicle/mòdul formatiu de FP (grau mitjà), d’Arts Plàstiques i Disseny, Música i Dansa, ensenyaments","Home","Heterosexual","Solter/a","Castellà","Català (valencià / balear)","Sí","No","No","No","Sí","Dues persones o més que no són parella","De 901 a 1000 €","No","3"
4,"Barcelona","150.001-1.000.000 habitants","Vallès Occidental","Sí, tinc la ciutadania (espanyola)","Masculí",60,"Altres comunitats autònomes","Pitjor","1-2 dies per setmana","1-2 dies per setmana","3-4 dies per setmana","Mai","1-2 dies per setmana","TV3","Catalunya Ràdio","No té cap diari habitual","No ho sap","Correcte","Correcte","6","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Cap: Ateisme","Treballa","FP de Grau Superior (Cicle/mòdul formatiu de FP (grau superior) d’Arts Plàstiques, Disseny, Música i Dansa, Esport,","Home","Heterosexual","Casat/ada","Castellà","Castellà","Sí","Sí","No","No","No","Parella amb fills/es","De 2.401 a 3.000 €","No","3"
2,"Barcelona","10.001-50.000 habitants","Baix Llobregat","Sí, tinc la ciutadania (espanyola)","Femení",68,"Catalunya","Igual","Tots els dies","Tots els dies","Tots els dies","Amb menys freqüència","Amb menys freqüència","TV3","Catalunya Ràdio","No té cap diari habitual","No ho sap","Incorrecte","Incorrecte","3","18","No","Altres comunitats autònomes","Catalunya","Blanc/a","Cap: Agnosticisme","No treballa","Educació Primària (Educació Primària de la LOGSE, 5è curs d’EGB, ensenyament primari antic)","Dona","Heterosexual","Casat/ada","Català (valencià / balear)","Català (valencià / balear)","No","Sí","No","Sí","No","Parella sense fills/es","De 2.001 a 2.400 €","No","2"
1,"Barcelona","10.001-50.000 habitants","Baix Llobregat","Sí, tinc la ciutadania (espanyola)","Femení",65,"Altres comunitats autònomes","Pitjor","Mai","Tots els dies","Mai","Tots els dies","3-4 dies per setmana","La 1","No escolta els informatius","No llegeix diaris","No ho sap","Incorrecte","Incorrecte","3","15","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","No treballa","Batxillerat (Batxillerat LOGSE, BUP, Batxillerat Superior (6è), Batxillerat Universitari (7è), inclòs COU i PREU)","Dona","Heterosexual","Vidu/a","Castellà","Castellà","No","Sí","No","Sí","No","Jo sol/a","De 901 a 1000 €","No","3"
3,"Barcelona","10.001-50.000 habitants","Vallès Occidental","Sí, tinc la ciutadania (espanyola)","Femení",35,"Catalunya","Igual","Mai","Mai","Mai","Mai","Mai","No mira els informatius","No escolta els informatius","No té cap diari habitual","No ho sap","No ho sap","Aproximat","5","16","No","Catalunya","Catalunya","Blanc/a","Cap: Ateisme","Treballa","FP de Grau Mig (Cicle/mòdul formatiu de FP (grau mitjà), d’Arts Plàstiques i Disseny, Música i Dansa, ensenyaments","Dona","Heterosexual","Casat/ada","Castellà","Castellà","Sí","Sí","Sí","No","No","Parella amb fills/es","De 2.401 a 3.000 €","No","1"
3,"Barcelona",">1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Femení",57,"Catalunya","Igual","Amb menys freqüència","Amb menys freqüència","Amb menys freqüència","Amb menys freqüència","Amb menys freqüència","No veu la TV / No té TV","SER","No té cap diari habitual","Correcte","Aproximat","Correcte","6","16","No","Catalunya","Altres comunitats autònomes","Blanc/a","Catolicisme","Treballa","Llicenciatura (Titulacions amb equivalència oficial: 2on cicle INEF; dansa i Art Dramàtic (Des de 1992); Grau Superior","Dona","Heterosexual","Casat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","No","No","Parella amb fills/es","De 2.401 a 3.000 €","No","2"
2,"Barcelona","10.001-50.000 habitants","Vallès Occidental","Sí, tinc la ciutadania (espanyola)","Masculí",80,"Catalunya","Millor","Mai","Tots els dies","Tots els dies","Tots els dies","3-4 dies per setmana","TV3","Catalunya Ràdio","El Periódico (català)","Correcte","Correcte","Aproximat","3","16","No","Catalunya","Catalunya","Llatí/ina","Catolicisme","No treballa","FP de Grau Mig (Cicle/mòdul formatiu de FP (grau mitjà), d’Arts Plàstiques i Disseny, Música i Dansa, ensenyaments","Home","Heterosexual","Casat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","Sí","No","No","Parella sense fills/es","De 2.001 a 2.400 €","Sí","3"
2,"Barcelona","10.001-50.000 habitants","Vallès Occidental","Sí, tinc la ciutadania (espanyola)","Femení",54,"Catalunya","Pitjor","3-4 dies per setmana","3-4 dies per setmana","3-4 dies per setmana","3-4 dies per setmana","5-6 dies per setmana","Antena 3","Radio Teletaxi","No té cap diari habitual","No ho sap","No ho sap","Incorrecte","6","14","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","Treballa","Educació secundaria (ESO, EGB, Graduat Escolar, Certificat d’Escolaritat, Batxillerat Elemental)","Dona","Heterosexual","Vidu/a","Castellà","Castellà","No","No","No","No","Sí","Monoparental: pare/mare amb fills/es","De 1001 a 1200 €","No","2"
3,"Barcelona","150.001-1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Masculí",38,"Catalunya","Igual","Tots els dies","5-6 dies per setmana","Tots els dies","Tots els dies","3-4 dies per setmana","Canal 3/24","Rac 1","No té cap diari habitual","Aproximat","Aproximat","Aproximat","3","16","Sí","Altres comunitats autònomes","Catalunya","Blanc/a","Cap: Agnosticisme","Treballa","Màster oficial universitari (Especialitats mèdiques o equivalent)","Home","Heterosexual","Solter/a","Castellà","Català (valencià / balear)","Sí","Sí","No","No","No","Parella amb fills/es","De 3.001 a 4.000 €","No","3"
4,"Barcelona","150.001-1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Masculí",35,"Catalunya","Millor","Tots els dies","Mai","Tots els dies","Mai","1-2 dies per setmana","No mira els informatius","Onda Cero","No té cap diari habitual","Correcte","Aproximat","Aproximat","3","16","No","Altres comunitats autònomes","Catalunya","Blanc/a","Cap: Agnosticisme","Treballa","FP de Grau Superior (Cicle/mòdul formatiu de FP (grau superior) d’Arts Plàstiques, Disseny, Música i Dansa, Esport,","Home","Heterosexual","Casat/ada","Castellà","Totes dues igual: català (valencià / balear) i castellà","Sí","Sí","Sí","No","No","Parella amb fills/es","De 4.001 a 4.500 €","No","2"
1,"Barcelona","150.001-1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Masculí",73,"Altres comunitats autònomes","Pitjor","Mai","Mai","Mai","Mai","Mai","No mira els informatius","No escolta els informatius","No llegeix diaris","No ho sap","No ho sap","Incorrecte","0","18","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","No treballa","Educació Primària (Educació Primària de la LOGSE, 5è curs d’EGB, ensenyament primari antic)","Home","Heterosexual","Vidu/a","Castellà","Castellà","Sí","Sí","Sí","Sí","No","Jo sol/a","De 1001 a 1200 €","No","1"
